# Euromilhões data from each draw (top 3 prize count) - Bids per draw in PT
# Scraped from file 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first file, 373.0 (Oct/2004), and 12994.0 (Oct/2023), over 1600+ draws happened
# Attention to files as 4630.0 (draw 2004/34), added after draw 373.0 (2004/35) and 2391.0 (2006/50)
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-15 16:06:45 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw_seq,draw_date,wins,bids
2011.056,2011-09-16,0,6314960
2011.057,2011-09-20,3,3647677
2011.058,2011-09-23,1,6268901
2011.059,2011-09-27,1,3956129
2011.060,2011-09-30,9,6412923
2011.061,2011-10-04,3,5388071
2011.062,2011-10-07,5,7272838
2011.063,2011-10-11,0,3740327
2011.064,2011-10-14,4,6122813
2011.065,2011-10-18,0,3842023
2011.066,2011-10-21,2,6262779
2011.067,2011-10-25,0,3414365
2011.068,2011-10-28,1,5852850
2011.069,2011-11-01,0,3419063
2011.070,2011-11-04,3,5988865
2011.071,2011-11-08,2,3750026
2011.072,2011-11-11,3,6454735
2011.073,2011-11-15,0,3322992
2011.074,2011-11-18,4,5512008
2011.075,2011-11-22,1,3402576
2011.076,2011-11-25,2,5825054
2011.077,2011-11-29,0,3303563
2011.078,2011-12-02,2,5700799
2011.079,2011-12-06,1,3333830
2011.080,2011-12-09,4,5754560
2011.081,2011-12-13,0,3625549
2011.082,2011-12-16,5,6068953
2011.083,2011-12-20,1,3448869
2011.084,2011-12-23,3,6307683
2011.085,2011-12-27,1,3761764
2011.086,2011-12-30,0,6801617
2012.001,2012-01-03,0,4072966
2012.002,2012-01-06,6,6508605
2012.003,2012-01-10,1,3393021
2012.004,2012-01-13,1,6041209
2012.005,2012-01-17,1,3539953
2012.006,2012-01-20,1,5897371
2012.007,2012-01-24,0,3232454
2012.008,2012-01-27,2,5548505
2012.009,2012-01-31,1,3424462
2012.010,2012-02-03,2,5718442
2012.011,2012-02-07,7,3586153
2012.012,2012-02-10,0,5361701
2012.013,2012-02-14,1,3253030
2012.014,2012-02-17,4,5502893
2012.015,2012-02-21,0,3208199
2012.016,2012-02-24,6,5619277
2012.017,2012-02-28,0,3082940
2012.018,2012-03-02,0,5405082
2012.019,2012-03-06,0,3029361
2012.020,2012-03-09,1,5281284
2012.021,2012-03-13,1,3240424
2012.022,2012-03-16,3,5433664
2012.023,2012-03-20,2,2950159
2012.024,2012-03-23,2,5122684
2012.025,2012-03-27,1,2844462
2012.026,2012-03-30,1,4876073
2012.027,2012-04-03,0,3030455
2012.028,2012-04-06,3,4874606
2012.029,2012-04-10,1,3152135
2012.030,2012-04-13,7,5671825
2012.031,2012-04-17,2,2970990
2012.032,2012-04-20,1,5245444
2012.033,2012-04-24,0,3275960
2012.034,2012-04-27,0,5305729
2012.035,2012-05-01,3,2813318
2012.036,2012-05-04,0,5172304
2012.037,2012-05-08,5,3240657
2012.038,2012-05-11,3,5393997
2012.039,2012-05-15,5,3397875
2012.040,2012-05-18,1,5765002
2012.041,2012-05-22,0,3965263
2012.042,2012-05-25,0,6421967
2012.043,2012-05-29,7,5012411
2012.044,2012-06-01,1,7716534
2012.045,2012-06-05,3,5986269
2012.046,2012-06-08,9,8571309
2012.047,2012-06-12,0,3504394
2012.048,2012-06-15,12,5543584
2012.049,2012-06-19,4,3206420
2012.050,2012-06-22,1,5224955
2012.051,2012-06-26,3,3224439
2012.052,2012-06-29,2,5331161
2012.053,2012-07-03,1,3460742
2012.054,2012-07-06,2,5650420
2012.055,2012-07-10,1,3841307
2012.056,2012-07-13,6,6455870
2012.057,2012-07-17,2,4349652
2012.058,2012-07-20,0,7025184
2012.059,2012-07-24,0,5292165
2012.060,2012-07-27,5,8498347
2012.061,2012-07-31,0,7762534
2012.062,2012-08-03,1,10661890
2012.063,2012-08-07,2,10766570
2012.064,2012-08-10,6,14159702
2012.065,2012-08-14,1,4586695
2012.066,2012-08-17,2,6454174
2012.067,2012-08-21,0,4314040
2012.068,2012-08-24,1,6483053
2012.069,2012-08-28,1,3776342
2012.070,2012-08-31,2,5894287
2012.071,2012-09-04,2,3822090
2012.072,2012-09-07,1,5855800
2012.073,2012-09-11,1,3449594
2012.074,2012-09-14,2,5419409
2012.075,2012-09-18,0,3239618
2012.076,2012-09-21,1,5328160
2012.077,2012-09-25,0,3371206
2012.078,2012-09-28,13,8012977
2012.079,2012-10-02,0,3392995
2012.080,2012-10-05,3,4958933
2012.081,2012-10-09,1,3439301
2012.082,2012-10-12,2,5548447
2012.083,2012-10-16,0,3579244
2012.084,2012-10-19,1,5626098
2012.085,2012-10-23,3,3713892
2012.086,2012-10-26,0,5970015
2012.087,2012-10-30,3,4600534
2012.088,2012-11-02,4,6693434
2012.089,2012-11-06,0,5101684
2012.090,2012-11-09,0,7500114
2012.091,2012-11-13,11,5873845
2012.092,2012-11-16,5,5347189
2012.093,2012-11-20,2,3558906
2012.094,2012-11-23,4,5161647
2012.095,2012-11-27,2,3390124
2012.096,2012-11-30,1,5337169
2012.097,2012-12-04,0,3619166
2012.098,2012-12-07,2,5627084
2012.099,2012-12-11,0,3962891
2012.100,2012-12-14,2,5705899
2012.101,2012-12-18,0,4192402
2012.102,2012-12-21,1,7107126
2012.103,2012-12-25,0,2926540
2012.104,2012-12-28,3,5750538
2013.001,2013-01-01,2,3548359
2013.002,2013-01-04,4,5206939
2013.003,2013-01-08,0,3429801
2013.004,2013-01-11,1,5280372
2013.005,2013-01-15,0,3141428
2013.006,2013-01-18,2,4944715
2013.007,2013-01-22,1,3182267
2013.008,2013-01-25,3,5118637
2013.009,2013-01-29,7,3007765
2013.010,2013-02-01,1,4740121
2013.011,2013-02-05,0,3103663
2013.012,2013-02-08,5,4893095
2013.013,2013-02-12,3,3122673
2013.014,2013-02-15,1,4995296
2013.015,2013-02-19,0,3410552
2013.016,2013-02-22,1,4590624
2013.017,2013-02-26,2,3078678
